topic,generality,cluster.nb
1,0.933343575043847,5
2,0.930675430660006,5
3,0.930712989816213,5
4,0.925856196676552,5
5,0.929969292929338,5
1,0.926090055604554,6
2,0.918081664249352,6
3,0.923297892904664,6
4,0.922914254882586,6
5,0.926573125250836,6
6,0.934014977469973,6
1,0.915280497190959,7
2,0.919627724813954,7
3,0.922261136005707,7
4,0.923307566535731,7
5,0.920628875354526,7
6,0.921991173165025,7
7,0.925909941633392,7
1,0.916399842219257,8
2,0.919320227964786,8
3,0.919215475452796,8
4,0.913437086963541,8
5,0.918805610429369,8
6,0.920279991867479,8
7,0.917352226367338,8
8,0.925005483501137,8
1,0.918161784200282,9
2,0.909988506064575,9
3,0.914540896540558,9
4,0.918831407406671,9
5,0.916886544829836,9
6,0.918983082313924,9
7,0.915128486241709,9
8,0.921043677362604,9
9,0.914588067558702,9
1,0.910376001723081,10
10,0.916631989218951,10
2,0.913597212899533,10
3,0.912356843328207,10
4,0.918601014096173,10
5,0.915071901646568,10
6,0.918355914716632,10
7,0.91510639872661,10
8,0.914135875907177,10
9,0.916482150962024,10
