"";"id";"word";"n";"tf";"idf";"tf_idf";"date";"month"
"1";"5cc195b6a2c361516998a048";"cent";11;0,0808823529411765;4,24966551719755;0,343722946243919;2016-01-07 16:32:00;2016-01-01
"2";"5cc18e5ca2c3615169989ecb";"lyft";18;0,0467532467532468;7,26192709270275;0,33951866926922;2016-01-21 13:00:08;2016-01-01
"3";"5cc19601a2c361516998a04f";"bumblebe";7;0,048951048951049;6,28109783969103;0,307466327817043;2016-01-11 06:30:04;2016-01-01
"4";"5cc18e13a2c3615169989ebc";"chubb";14;0,043613707165109;6,97424502025097;0,304172680010946;2016-01-19 09:19:11;2016-01-01
"5";"5cc18ddba2c3615169989eb1";"murr";16;0,04;7,26192709270275;0,29047708370811;2016-01-14 17:28:05;2016-01-01
"6";"5cc18e16a2c3615169989ebd";"theme";1;0,0714285714285714;3,92972258252755;0,280694470180539;2016-01-19 11:39:06;2016-01-01
"7";"5cc18e16a2c3615169989ebd";"we’d";1;0,0714285714285714;3,66005901557844;0,261432786827032;2016-01-19 11:39:06;2016-01-01
"8";"5cc18e5ca2c3615169989ecb";"uber";17;0,0441558441558442;5,58795065913108;0,246740678455139;2016-01-21 13:00:08;2016-01-01
"9";"5cc195aaa2c361516998a044";"pdo";10;0,0279329608938547;8,36053938137086;0,233534619591365;2016-01-06 11:52:48;2016-01-01
"10";"5cc18e16a2c3615169989ebd";"defin";1;0,0714285714285714;3,11879236631122;0,222770883307944;2016-01-19 11:39:06;2016-01-01
"11";"5cc18e09a2c3615169989eba";"humanitarian";20;0,056657223796034;3,83875080432182;0,217492963417667;2016-01-18 17:30:03;2016-01-01
"12";"5cc18e16a2c3615169989ebd";"featur";1;0,0714285714285714;3,00868124789479;0,214905803421057;2016-01-19 11:39:06;2016-01-01
"13";"5cc1963da2c361516998a05b";"score";132;0,0558139534883721;3,75536919538277;0,209602001602759;2016-01-12 14:00:07;2016-01-01
"14";"5cc19605a2c361516998a051";"rainforest";17;0,0544871794871795;3,7454188645296;0,204077309926292;2016-01-11 12:30:04;2016-01-01
"15";"5cc18e66a2c3615169989ecf";"lowick";4;0,0242424242424242;8,36053938137086;0,202679742578688;2016-01-22 06:30:03;2016-01-01
"16";"5cc18fdca2c3615169989f17";"rspo";18;0,0478723404255319;7,26192709270275;0,347645445927259;2016-02-09 14:30:56;2016-02-01
"17";"5cc190e8a2c3615169989f4e";"argo";25;0,0477099236641221;6,16331480403464;0,294051278818447;2016-02-24 10:31:25;2016-02-01
"18";"5cc19097a2c3615169989f3c";"musher";18;0,0364372469635627;7,66739220081091;0,279378663187442;2016-02-19 17:38:02;2016-02-01
"19";"5cc1911da2c3615169989f51";"hennessi";4;0,0307692307692308;8,36053938137086;0,257247365580642;2016-02-24 16:45:26;2016-02-01
"20";"5cc190dfa2c3615169989f4a";"vesei";18;0,0350877192982456;6,97424502025097;0,244710351587753;2016-02-23 20:00:04;2016-02-01
"21";"5cc18f51a2c3615169989ef8";"cent";7;0,0569105691056911;4,24966551719755;0,241850883092543;2016-02-01 12:29:37;2016-02-01
"22";"5cc19009a2c3615169989f1c";"cc";18;0,0520231213872832;4,53189798488177;0,235763478982288;2016-02-10 07:01:16;2016-02-01
"23";"5cc18f65a2c3615169989f00";"bowman";7;0,031390134529148;6,97424502025097;0,218922489424918;2016-02-04 01:39:33;2016-02-01
